sku,ean,normale_prijs,advies_prijs
39978003,8713884123360,37.20,48.56
39978004,8710735801392,6.05,9.09
39978005,8711595009959,77.10,90.95
39978010,4014809233619,57.10,57.59
39978011,4014809172512,43.85,66.04
39978012,4014809233459,57.80,58.19
39978027,8716242661160,35.25,76.50
39978028,8716242652083,42.95,76.50
39978034,8711115378138,32.82,49.49
39978057,5413326204437,2.75,3.79
39978058,5413326199795,2.85,3.49
39978059,5413326208558,5.95,6.39
39978060,5413326198255,3.20,3.79
39978061,5413326203980,2.40,3.49
39978062,5413326203881,5.70,5.39
39978063,5413326205328,4.60,4.89
39978064,5413326205342,6.05,6.49
39978065,5413326204215,6.15,6.29
39978066,5413326198262,3.20,3.79
39978067,5413326213576,6.85,7.59
39978068,5413326203850,5.85,5.59
39978069,5413326199238,3.20,3.79
39978070,5413326199214,3.20,3.79
39978071,5413326213125,26.20,27.99
39978072,5413326196565,3.25,3.99
39978073,5413326196459,3.25,3.99
39978074,5413326208282,10.35,11.99
39978076,5413326202341,6.95,7.49
39978077,8713884126071,5.85,6.67
39978078,5413326210155,7.65,8.59
39978079,8713884020942,37.20,48.56
39978080,8713884021505,37.20,48.56
39978081,8711143146266,7.65,13.95
39978083,8713884067923,1.80,1.92
39978084,8713884017386,6.55,7.64
39978087,8713884123308,37.20,48.56
39978088,8713884204878,37.20,48.56
39978093,5907558412383,9.85,39.95
39978095,4014809170600,52.20,52.59
39978099,5413326207278,6.70,7.09
39978100,5413326206288,9.75,10.29
39978101,5413326192017,3.20,3.79
39978102,5413326140421,14.20,13.79
39978103,5413326206295,9.75,10.29
39978104,5413326199801,3.20,3.79
39978105,5413326198385,0.95,1.59
39978106,5413326204420,2.40,3.59
39978118,7311490025552,3.60,4.55
39978122,8716242755142,15.40,39.95
39978130,8711115377308,107.24,159.49
39978131,8711115315164,123.17,177.99
39978147,4014809241690,68.30,68.79
39978148,7439604040038,0.60,0.53
39978169,5413326207971,5.45,5.89
39978170,5413326207988,5.45,5.89
39978171,5413326207933,5.35,5.69
39978190,5413326196473,3.25,3.99
39978191,5413326196398,2.85,3.49
39978192,5413326196381,2.95,3.59
39978193,5413326203232,5.05,4.69
39978194,5413326196350,2.85,3.49
39978195,5413326203294,6.15,6.29
39978196,5413326208169,5.45,5.89
39978197,5413326208145,5.45,5.89
39978198,5413326208060,5.45,5.89
39978199,5413326208039,5.35,5.69
39978249,8716242652045,42.95,76.50
39978252,8716242755203,15.40,39.95
39978258,8711115337340,137.11,235.99
39978260,8711115294360,109.73,178.99
39978261,8712576305725,148.25,213.09
39978262,8711115317274,125.05,200.99
39978263,8711115346427,161.79,280.99
39978264,8711115350776,79.51,157.49
39978265,8712576305763,86.50,121.19
39978266,8711113108553,36.35,65.95
39978278,4014809233510,57.10,57.59
39978279,8717003310242,18.70,
39978281,5400107129850,2.80,3.95
39978288,8716644206549,84.85,150.79
39978289,8716644209625,148.80,264.49
39978290,8716644209618,148.80,264.49
39978293,8716644208185,68.30,128.74
39978295,8716644209687,165.40,257.59
39978300,8711115315249,123.17,177.99
39978301,8711115250793,166.67,241.49
39978302,8711115280059,108.57,183.99
39978303,8711115280165,134.53,
39978304,8711115250830,166.67,241.49
39978305,8711115334363,163.38,280.99
39978306,8711115334332,163.38,280.99
39978317,8710735801415,5.45,6.29
39978320,8711115337050,129.86,235.99
39978321,8711115337081,129.86,235.99
39978322,8711115337166,126.74,183.49
39978324,8711115279954,108.57,183.99
39978325,8711115337104,129.86,235.99
39978326,8711115349893,139.85,235.99
39978327,8711115349930,137.11,235.99
39978328,4014809170297,56.90,57.29
39978331,4014809237037,100.85,101.59
39978333,4014809152774,57.80,58.19
39978338,5907558412376,7.65,34.95
39978339,8713884123957,37.20,48.56
39978340,5413326205038,4.50,4.79
39978343,8713884020935,37.20,48.56
39978348,4014809233558,57.10,57.59
39978351,4014809170457,57.10,57.59
39978353,8716242755081,15.40,39.95
39978355,8716242755197,15.40,39.95
39978358,8711115283982,146.57,204.99
39978369,8711113117951,22.10,44.99
39978370,5413326208954,5.35,5.69
39978371,5413326030302,12.25,11.99
39978372,5413326202136,4.60,4.89
39978373,5413326202167,4.60,4.89
39978374,5413326204024,5.70,5.39
39978375,5413326202143,4.60,4.89
39978376,5413326129228,14.30,13.99
39978377,5413326140827,1.65,1.59
39978378,5413326068640,7.80,7.69
39978379,5400997735643,1.85,1.99
39978391,8716242652113,42.95,76.50
39978397,8711115275475,132.81,212.49
39978406,5413326199085,3.20,3.79
39978407,5413326208947,5.30,5.59
39978410,8716242652038,42.95,76.50
39978411,5410083009961,16.50,45.30
39978420,8711115350769,135.84,196.49
39978421,8711113077392,93.70,84.99
39978425,8712576101495,94.75,130.60
39978426,8716644208932,112.40,199.79
39978454,5413326204673,6.55,7.79
39978455,5413326161327,4.25,4.49
39978456,5413326155821,2.95,3.39
39978457,5413326201825,2.30,3.09
39978458,5413326201849,3.20,3.79
39978459,5413326205489,9.85,10.59
39978472,5413326201894,3.20,3.79
39978473,5413326045849,2.95,2.99
39978474,5400997716932,2.40,4.29
39978475,5400997735711,6.35,6.39
39978476,5400997735797,9.85,9.69
39978477,5400997735674,3.20,3.09
39978478,5400997716895,4.75,5.79
39978479,5400997735384,1.85,1.99
39978480,5400997734660,17.40,16.59
39978481,5413326161334,2.40,2.49
39978495,8711115334028,129.21,200.99
39978496,8711115381008,114.37,114.37
39978497,8711115250571,123.49,182.99
39978498,5413326210179,9.75,10.29
39978499,5413326205045,4.60,4.89
39978513,8711115334455,117.32,174.49
39978514,8711115342962,123.49,
39978515,8711115337180,126.74,183.49
39978516,8711115334509,117.32,174.49
39978535,5413326205557,8.65,9.29
39978536,5413326205113,4.05,4.79
39978542,5413326205144,3.20,3.79
39978543,5413326205441,10.05,11.99
39978544,5413326210483,16.65,17.99
39978545,5413326210209,7.80,8.49
39978546,5413326210186,9.85,10.59
39978572,8716644207539,107.25,190.59
39978579,5907558412369,5.85,29.95
39978580,5413326204932,3.40,3.99
39978581,8713884123322,37.20,48.56
39978582,5413326204956,3.20,3.79
39978583,8713884021574,37.20,48.56
39978586,8713884204885,37.20,48.56
39978589,8711115346380,163.38,280.99
39978590,8711115350691,53.65,100.99
39978591,8711115351032,55.26,100.99
39978593,8712576304902,90.00,127.28
39978594,8712576104915,79.35,109.80
39978596,8716644203050,61.50,109.29
39978597,8716644208086,143.25,
39978598,8716644207478,101.75,180.79
39978601,8717003245612,23.15,32.99
39978603,4014809233473,57.80,58.19
39978604,4014809170594,52.20,52.59
39978605,4014809139829,56.90,57.29
39978609,8711115301426,124.99,
39978610,8711115337210,124.99,235.99
39978611,8711115337296,137.11,235.99
39978613,8711115377728,53.65,88.49
39978614,8711115237879,24.95,57.49
39978615,8711115317526,114.62,200.99
39978616,8712576302274,79.35,109.80
39978619,8711115334424,127.39,189.49
39978622,8711115337265,124.99,235.99
39978623,8711115337371,169.99,241.49
39978624,8711115377568,139.85,235.99
39978626,8711115341002,166.66,241.49
39978627,8711115343440,128.37,183.99
39978628,8711115317670,114.62,200.99
39978632,8716644207881,102.50,182.19
39978635,8716644209076,112.40,199.79
39978652,8711115334387,127.39,189.49
39978677,8711115250618,123.49,182.99
39978678,8711115334486,117.32,174.49
39978679,8711115333946,129.21,200.99
39978680,8711115317397,107.33,200.99
39978681,8711115337326,137.11,235.99
39978683,8716242651307,19.80,45.50
39978821,8711115333984,129.21,200.99
39978826,8711115337135,126.74,183.49
39978837,8711115315126,123.17,177.99
39978838,8711115334059,175.17,253.49
39978839,8711115340890,166.66,
39978840,8711115334080,170.57,253.49
39978841,8711115317427,125.05,200.99
39978842,8711115317649,114.62,200.99
39978843,8711115280349,134.48,209.49
39978844,8711115378169,45.82,81.49
39978845,8711115280240,116.04,208.99
39978846,8711115299068,143.56,
39978847,8711115351049,71.84,126.49
39978848,8711115377407,55.69,
39978849,8711115350998,45.45,85.49
39978850,8712576302496,138.85,197.24
39978851,8712576306852,103.30,144.15
39978853,8716644203036,61.50,109.29
39978854,8716644209700,172.05,267.39
39978855,8716644209069,106.90,189.99
39978867,8716242650393,32.60,89.50
39978870,8716644205993,51.00,90.59
39978871,8716644205658,53.20,94.49
39978881,8716644207911,108.00,191.99
39978882,8711113117999,22.00,44.99
39978916,8711113087636,22.00,93.49
39978927,8711115350707,66.31,126.49
39978930,8716644208925,106.90,189.99
39978931,8716644208109,87.05,192.63
39978955,8716242651420,19.80,40.95
39978983,8715854009995,1.10,
39979035,8712576108074,17.60,19.49
39979037,8712576308160,16.50,14.69
39979038,7439604062009,12.10,17.95
39979042,8716644205610,53.20,94.49
39979043,8716644206020,41.85,72.48
39979120,7439604030053,6.95,10.44
39979121,8718375330791,3.60,4.25
39979122,7311490040500,14.20,15.89
39979123,8711577039943,10.85,10.29
39979124,8710839101114,12.10,13.45
39979125,8710839330071,17.60,21.20
39979126,5410091626945,7.15,10.45
39979127,8710839143206,23.70,27.70
39979128,8710839102500,8.25,8.65
39979199,8711577259006,11.75,10.99
39979200,8711577189846,10.75,10.29
39979201,8712576308146,16.50,13.81
39979202,5011867009476,10.55,16.49
39979203,5011867009506,10.55,16.49
39979204,5011867009841,10.55,16.49
39979205,5011867042848,9.35,12.49
39979208,8718026587338,39.65,59.99
39979209,8711577012014,4.05,3.69
39979212,8710839112554,18.70,21.95
39979218,8716644205955,51.00,90.59
39979221,8716644205542,30.80,53.20
39979222,8716644205801,19.80,
39979226,8716644205696,44.05,81.51
39979227,8716644205665,99.80,177.29
39979229,8711115314600,128.69,191.49
39979230,8711115381992,128.69,
39979244,5410091671266,10.45,12.82
39979246,5011867009551,7.15,9.99
39979247,5011867025414,9.35,12.49
39979248,8710839110475,10.55,16.49
39979249,8711577001018,10.95,10.29
39979278,8711577005856,10.75,10.29
39979280,8711113100151,4.75,13.99
39979292,7439604062047,15.40,22.95
39979307,5011867009445,10.55,16.49
39979308,7439604062061,24.20,35.95
39979310,8710839110543,10.55,16.49
39979311,5011867009513,10.55,16.49
39979333,8711252008806,12.95,15.25
39979334,8711577249335,7.25,6.99
39979376,8710839114183,14.30,13.30
39979399,8712576108777,12.65,13.47
39979400,7439604062023,12.10,17.95
39979419,8711577257545,11.75,10.99
39979427,8710839110468,10.55,16.49
39979438,8711577189389,6.55,6.19
39979440,8711577189815,6.25,5.99
39979441,8711113099615,4.75,13.99
39979444,8711113099295,4.75,13.99
39979469,5011867025902,10.55,16.49
39979470,8710839110451,10.55,16.49
39979471,8710839110444,10.55,16.49
39979472,5011867009421,10.55,16.49
39979473,5011867009544,10.55,16.49
39979474,8711577217020,8.75,8.79
39979475,8711577012434,10.95,10.29
39979476,8711595027717,4.60,7.25
39979491,5011867033273,10.55,16.49
39979492,5011867033310,10.55,16.49
39979493,7439604062085,12.10,17.95
39979494,5011867009469,10.55,16.49
39979495,5011867033259,10.55,16.49
39979506,8711577212988,7.65,7.29
39979528,8711113100342,4.75,13.99
39979552,8711113099608,4.75,13.99
39979553,8711113099790,4.75,13.99
39979559,5011867025896,10.55,16.49
39979560,5011867033297,10.55,16.49
39979561,8711577189839,11.60,10.99
39979562,8712576305534,10.95,13.47
39979563,8712576108784,12.65,13.47
39979564,5011867009612,10.55,16.49
39979565,5011867009858,10.55,16.49
39979580,8712576303134,13.75,17.98
39979633,8711113099387,4.75,13.99
39979652,5011867009568,10.55,16.49
39979653,5011867009582,10.55,16.49
39979654,5011867025889,10.55,16.49
39979655,8711577005849,11.60,10.99
39979657,5011867009629,10.25,16.49
39979659,8711577190637,10.95,10.29
39979661,8711113099493,4.75,13.99
39979666,8711577202286,6.45,6.29
39979733,8716242653868,4.35,14.50
39979738,8716242654056,4.35,14.50
39979741,5032227317161,9.15,12.49
39979742,8711577217006,8.75,8.79
39979743,8711577190620,10.95,10.29
39979747,8711577002565,6.25,5.99
39979748,8711577202309,6.45,6.29
39979788,8716242717980,4.35,14.50
39979790,8716242654117,4.35,14.50
39979792,8716242653714,4.35,14.50
39979803,5032227317093,9.15,12.49
39979810,8711113099691,4.75,13.99
39979812,8711113100359,4.75,13.99
39979836,8716242654193,4.35,14.50
39979841,8716242726715,4.35,14.50
39979843,8716242652946,4.35,14.50
39979856,5032227317437,9.15,12.49
39979866,8716242652991,4.35,14.50
39979867,8716242652724,4.35,14.50
39979872,5410091269913,15.40,14.99
39979932,8711595068598,8.75,13.45
39979939,5410091323295,10.95,
39979940,5410091326128,8.30,12.99
39979941,8711595058797,13.20,19.99
39980030,5032227317215,9.15,12.49
39980044,8711577191399,8.75,8.49
39980045,8711595035323,4.75,7.25
39980046,8711595008228,2.75,4.09
39980047,8711595217088,9.85,12.49
39980048,8713274048570,14.95,18.19
39980049,8711577006464,9.75,9.29
39980050,8711577017743,9.75,9.29
39980052,8713274047337,16.15,18.09
39980054,8713274046187,10.15,14.89
39980055,8711595076425,8.75,13.45
39980056,3178040696280,7.65,12.99
39980057,5400282113552,7.40,15.17
39980062,8711577058418,13.20,13.29
39980063,8711113542821,33.00,37.49
39980064,8711577212940,10.95,10.59
39980065,8710839103422,12.65,13.20
39980066,8711595230803,6.70,
39980067,8711595216883,9.85,12.49
39980068,8713274048075,18.50,21.59
39980069,8713274046200,10.15,14.89
39980070,8713274044435,12.65,16.09
39980071,8713274044527,12.65,16.09
39980072,8713274044350,14.90,23.19
39980076,8713274044398,14.90,23.94
39980080,8713274044206,9.85,12.49
39980093,8710839111366,7.15,7.35
39980094,8710839114442,25.30,29.70
39980098,8711595111751,8.75,13.95
39980099,8711577184032,8.75,8.49
39980101,8711577190149,6.25,5.99
39980119,8711595028028,12.10,18.45
39980120,87352726,8.75,8.49
39980123,8710839112905,13.75,15.25
39980125,8711577007317,11.15,10.49
39980128,8711577212926,10.95,10.59
39980129,8711595008532,2.75,4.09
39980130,8711595008549,2.75,4.09
39980131,8711595055604,7.65,11.75
39980132,8713274048051,17.60,20.59
39980133,8713274046118,10.15,14.89
39980134,8711595177429,5.30,7.95
39980135,8713274047603,14.95,18.19
39980136,8713274046163,10.15,14.89
39980137,8713274044978,13.20,19.89
39980138,8713274044909,17.10,26.49
39980139,8713274044305,14.90,22.17
39980140,8713274046521,19.30,31.70
39980141,8713274046903,18.45,27.79
39980154,8710839369255,27.00,28.75
39980156,8711577190590,8.75,8.29
39980159,8711577055912,8.75,8.29
39980160,8711577189778,7.45,7.29
39980161,3178041356725,6.55,
39980162,8711595055598,7.65,11.75
39980163,5410091693947,23.15,32.05
39980164,8710839101107,12.65,14.15
39980165,8711595107457,11.05,16.69
39980169,8711577018658,6.45,6.19
39980172,8711577011451,9.05,8.59
39980173,8711595216869,9.85,12.49
39980186,8713274046927,18.45,27.79
39980187,8713274046880,17.60,26.59
39980188,8713274045166,18.70,31.67
39980189,8713274048228,16.50,18.73
39980190,8713274048167,15.40,19.19
39980191,8713274047474,15.40,17.09
39980192,8713274047733,18.15,26.69
39980193,8713274047986,19.80,20.19
39980194,5011867049533,16.50,21.99
39980195,5011867042800,16.50,20.49
39980210,8713274044268,14.30,21.59
39980211,8713274044954,14.90,24.36
39980220,8713274029487,14.95,18.19
39980221,8713274047245,16.15,18.09
39980222,8713274046149,10.15,14.89
39980223,8713274046095,10.15,14.89
39980224,8713274044480,12.65,16.09
39980226,8713274047276,16.15,18.09
39980227,8713274044442,12.65,16.09
39980228,8713274044893,16.50,24.69
39980229,8713274045104,18.70,29.01
39980237,8713274047047,18.45,27.79
39980238,8713274045142,19.30,32.78
39980239,8713274045357,12.00,14.69
39980241,8713274047665,14.95,18.19
39980242,8713274044589,13.55,15.99
39980243,8713274048068,17.60,20.59
39980244,8713274047368,14.65,15.99
39980245,8713274047399,14.65,15.99
39980246,8713274044602,13.55,15.99
39980247,8713274044343,13.80,21.89
39980248,8713274046538,18.20,29.76
39980249,8713274045302,18.45,27.79
39980250,8713274045296,18.45,27.79
39980263,8711577008505,4.75,4.39
39980264,8711577062392,14.05,13.39
39980265,8713274046798,18.50,22.49
39980266,8713274046675,34.50,44.19
39980267,5011867025353,16.50,21.99
39980268,8711577142988,16.30,15.39
39980279,8711577190729,9.05,8.59
39980280,8711577006471,6.45,6.19
39980281,3178041356749,6.10,10.19
39980282,8713274047429,14.95,18.19
39980283,8713274047306,16.15,18.09
39980285,5410091697433,10.55,12.55
39980286,8710839102562,6.55,7.29
39980287,8713274045067,19.30,32.37
39980288,8713274045043,18.70,27.34
39980289,8713274048679,14.65,16.99
39980294,8713274048235,17.60,21.72
39980295,8713274047122,17.15,17.39
39980296,8713274047856,18.70,29.12
39980297,8713274047962,19.80,20.19
39980298,5011867025407,16.50,21.99
39980299,5011867025971,16.50,21.99
39980300,5011867025339,16.50,21.99
39980301,5011867049519,16.50,21.99
39980302,5011867025438,12.10,14.99
39980303,8711577190651,8.75,8.49
39980304,8711595189729,5.05,7.60
39980306,8710839145866,56.75,56.90
39980307,5412271265548,7.65,7.65
39980311,8710839114435,38.55,44.00
39980312,8713274044459,12.65,16.09
39980313,8713274044503,12.65,16.09
39980314,8711595103343,3.95,5.95
39980315,5410091693961,17.60,22.89
39980316,8713274044381,13.80,20.47
39980317,8713274044275,15.10,22.79
39980318,8713274044930,13.80,21.22
39980319,8713274045289,17.60,26.59
39980320,8713274045197,19.30,32.20
39980321,8713274045128,19.30,32.03
39980322,8713274045401,18.20,29.59
39980340,8713274045227,19.30,32.53
39980341,8713274045364,12.10,14.69
39980342,8713274045340,11.25,13.79
39980343,8713274047092,17.15,17.39
39980344,8713274047450,15.40,17.09
39980345,5011867025384,16.50,21.99
39980346,5011867049526,16.50,21.99
39980353,8713274046989,18.45,27.79
39980354,8713274048686,14.65,16.99
39980355,8713274048662,13.75,16.09
39980364,8713274047757,18.15,26.69
39980365,8713274047849,17.25,20.19
39980366,8711577189068,10.95,10.59
39980367,5032227316881,13.20,16.99
39980368,8711577244798,10.55,9.79
39980369,8710839114169,31.40,33.25
39980371,8711595216944,9.85,12.49
39980372,8713274046224,10.15,14.89
39980373,8713274044237,13.20,18.29
39980374,8713274044985,14.00,21.19
39980375,8713274044329,16.00,24.12
39980376,8713274045425,19.30,30.37
39980378,8713274046545,19.30,31.70
39980383,5412271264909,7.65,7.65
39980384,8713274046699,34.50,44.19
39980385,8713274047863,18.20,21.87
39980386,5011867025391,16.50,21.99
39980387,8710839297930,12.10,14.99
39980388,8711577013615,8.75,8.49
39980389,8711577062415,15.40,14.49
39980390,5011867042923,16.50,22.99
39980401,8713274046576,19.35,23.49
39980402,8713274046569,18.50,22.49
39980403,8713274046859,19.35,23.49
39980405,8710839110482,29.20,30.20
39980407,8711577078447,12.65,12.19
39980408,8711577265090,8.75,8.49
39980409,5412271265685,7.65,7.65
39980414,8711577191146,8.45,7.99
39980425,8711577062378,14.05,13.39
39980426,8713274047726,18.20,22.90
39980427,8711577115272,8.45,7.99
39980428,8711577110086,16.40,15.89
39980429,5412271265586,7.65,7.65
39980432,5410091326135,5.00,7.49
39980433,5410091326210,8.30,13.09
39980434,5410091697471,10.55,12.55
39980437,8710839111359,5.45,6.75
39980443,8710839112851,13.75,15.60
39980444,3175790005089,6.10,8.69
39980445,8711595056106,7.65,11.75
39980446,8711595069359,4.25,6.45
39980447,8713274047696,14.95,18.19
39980449,5032227312586,9.15,8.99
39980450,8713274047023,18.45,27.79
39980452,8713274048174,16.30,36.29
39980453,8713274047061,16.30,16.49
39980454,8713274047184,17.15,17.39
39980455,8713274046552,19.35,23.49
39980456,5011867025346,16.50,21.99
39980457,5011867042862,12.10,14.99
39980458,8711577011994,7.65,7.29
39980459,8711577190774,7.65,7.29
39980462,8713274048242,17.60,20.20
39980463,8713274047009,17.60,26.59
39980464,8713274046965,18.45,27.79
39980465,8713274046941,17.60,26.59
39980466,8713274047214,17.15,17.39
39980467,8713274046651,18.50,22.49
39980468,8713274047740,17.25,20.19
39980469,8713274047979,19.80,20.19
39980474,5032227310377,9.65,12.99
39980477,8710839106126,35.80,39.70
39980484,5412271265708,7.65,7.65
39980485,8713274047153,16.30,16.49
39980486,8713274046828,19.35,23.49
39980487,8713274047870,18.70,28.47
